experiment,feature_extractor,max_positive_outfits,selected_model,selection_metric,metadata_item_count,outfit_count,compatible_outfits_selected,pair_count,train_count,validation_count,test_count,model,training_time_seconds,validation_accuracy,validation_macro_f1,validation_compatible_f1,validation_roc_auc,test_accuracy,test_macro_f1,test_compatible_f1,test_roc_auc
clip_10000,clip,10000,logreg,validation_macro_f1,251008,70280,10000,80736,76528,6996,35476,logreg,66.967,0.658947970268725,0.6520647927203238,0.7010025062656642,0.7319115783224655,0.6756680572781599,0.6704453511768136,0.7119323018376646,0.7470203693121007
clip_10000,clip,10000,logreg,validation_macro_f1,251008,70280,10000,80736,76528,6996,35476,linear_svm,1730.602,0.6526586620926244,0.6438539761665978,0.6998517786561265,0.7294924879069997,0.6747378509414815,0.6685141758748848,0.7139350968093809,0.747197319457806
clip_10000,clip,10000,logreg,validation_macro_f1,251008,70280,10000,80736,76528,6996,35476,random_forest,942.318,0.5630360205831904,0.48144971881676746,0.6871354006754682,0.67106438507212,0.5711748787912955,0.5005420866696322,0.6883667574820247,0.6815585647423827
clip_10000,clip,10000,logreg,validation_macro_f1,251008,70280,10000,80736,76528,6996,35476,mlp,290.472,0.6409376786735277,0.6378690967597294,0.6712041884816754,0.7001136155234993,0.6449148720261585,0.6422619882387106,0.6730684384002491,0.7039457695842954
