model,training_time_seconds,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
mlp,85.916,0.7722031785602992,0.7695126406275318,0.7709389508585645,0.7698140392273881,0.7501732982115624,0.7528751092577558,0.7613210829229108,0.7563704181987158
logreg,27.697,0.7659707073854783,0.7632220369702333,0.7643550276745609,0.763536373057518,0.7575211423818107,0.7582077361439922,0.7711154753439264,0.7629846288704366
linear_svm,94.417,0.7651916484886258,0.7615427011392826,0.7634292224067895,0.7618731565162836,0.7614030223208097,0.761095741065709,0.7751436018849832,0.7657056071990885
random_forest,142.047,0.7076971019009037,0.7058211121485845,0.705504373075093,0.7046218488335051,0.6955497019270761,0.6941014222053442,0.7121195552789322,0.6978845753089025
